Title,Description
Nutrient requirements of dogs and cats,Also issued online. Includes bibliographical references and index.
Pete the cat and the missing cupcakes,Pete and his friends must solve a mystery when some of the cupcakes they have backed for a party go missing!
Cat-and-rodent game,1 drawing.
[Cat and kitten drinking milk],1 print : lithograph.
[Three cats - mother and kittens],1 print : lithograph.
"Von Karlowski cat, portrait photograph",1 negative : nitrate ; 4 x 5 in. or smaller.
And the cat came back,1 drawing.
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
"John Napier, Designer for ""CATS""",1 photograph : color transparency ; 35mm (slide format)
[Cat sitting on top of boxes],"1 photograph : gelatin silver print ; sheet 29 x 22 cm (8 x 10 in. format) | Photograph shows a cat sitting on top of a stack of boxes for Beech-Nut Coffee, which are on a sidewalk in front of other crates and barrels under an awning."
What George asked the cat,1 drawing : wash.
Pete the cat and the treasure map,Pete the Cat and his crew battle a sea monster as they follow a map to find a hidden treasure.
"Cat Story, The",No Description
Cat Cora: Book Fest 07,"Iron Chef Cat Cora in a presentation at the 2007 National Book Festival in Washington, D.C."
Not Enough Cats,"There is no question that Toni Frissell loved dogs. She often photographed her own dogs and also took photos of canines she met on her many photographic assignments. One of her dogs, an Italian greyhound named Bambi, is featured in this color test photo that is included in my latest Flickr album – Toni Frissell …"
